1,"Rebecca Bar",1994-03-18,rebecca.bar1@email.com,051-2142180
2,"Adam Golan",1990-12-20,adam.golan2@email.com,059-1013581
3,"Adam Shapiro",1976-01-09,adam.shapiro3@email.com,055-6630744
4,"Benjamin Chen",2010-02-18,benjamin.chen4@email.com,054-6645286
5,"Michael Stern",1976-02-11,michael.stern5@email.com,057-5163145
6,"Leah Shapiro",1986-07-08,leah.shapiro6@email.com,055-1869768
7,"Deborah Gil",2010-05-23,deborah.gil7@email.com,052-6102608
8,"Shira Alon",2006-09-16,shira.alon8@email.com,054-1929245
9,"Rebecca Alon",1999-02-22,rebecca.alon9@email.com,057-9625112
10,"Michael Weiss",1997-03-01,michael.weiss10@email.com,053-3734437
11,"Esther Avraham",2009-07-15,esther.avraham11@email.com,051-1784181
12,"Isaac Katz",1993-01-25,isaac.katz12@email.com,055-7996075
13,"Hannah Carmel",1988-11-15,hannah.carmel13@email.com,055-3312456
14,"Tamar Bar",1980-10-04,tamar.bar14@email.com,051-3103461
15,"Hannah Israeli",2007-07-01,hannah.israeli15@email.com,059-2339383
16,"Yael Ben-Ami",1998-10-22,yael.ben-ami16@email.com,052-8282646
17,"Samuel Israeli",1977-09-19,samuel.israeli17@email.com,059-2873521
18,"Shira Mizrahi",2010-04-14,shira.mizrahi18@email.com,058-2762692
19,"Isaac Avraham",2004-06-20,isaac.avraham19@email.com,051-5054231
20,"Abigail Golan",1990-04-13,abigail.golan20@email.com,058-6922034
21,"Yael Goldstein",1992-05-11,yael.goldstein21@email.com,054-5995056
22,"Samuel Carmel",1982-04-07,samuel.carmel22@email.com,059-7474356
23,"Tamar Katz",1995-01-28,tamar.katz23@email.com,057-2772919
24,"Hannah Golan",2001-09-19,hannah.golan24@email.com,055-2528599
25,"Aaron Cohen",2008-03-26,aaron.cohen25@email.com,054-1351906
26,"Michael Cohen",2000-11-12,michael.cohen26@email.com,054-8884989
27,"Eli Nir",1978-06-30,eli.nir27@email.com,052-9828694
28,"Shira Golan",1977-10-12,shira.golan28@email.com,057-5011451
29,"Daniel Galili",2014-10-04,daniel.galili29@email.com,055-2509704
30,"Noah Zion",1998-09-15,noah.zion30@email.com,052-5459020
31,"Rebecca Weiss",2005-05-04,rebecca.weiss31@email.com,058-9920996
32,"Hannah Levi",1998-07-09,hannah.levi32@email.com,058-8967177
33,"Rachel Katz",2004-08-21,rachel.katz33@email.com,050-5983170
34,"Naomi Shapiro",2000-04-14,naomi.shapiro34@email.com,051-8586666
35,"Eli Levi",1990-05-09,eli.levi35@email.com,058-1125976
36,"Aaron Alon",1980-02-21,aaron.alon36@email.com,059-9640003
37,"Shira Israeli",1977-12-23,shira.israeli37@email.com,058-8443029
38,"Yael Carmel",2014-11-14,yael.carmel38@email.com,051-1556069
39,"Esther Rosen",2002-07-15,esther.rosen39@email.com,056-7087249
40,"Daniel Levy",1993-07-11,daniel.levy40@email.com,050-8352051
41,"David Avraham",1997-05-04,david.avraham41@email.com,053-5773799
42,"Hannah Klein",1993-04-12,hannah.klein42@email.com,053-1924985
43,"Leah Klein",2014-10-22,leah.klein43@email.com,050-6859577
44,"Aaron Sharon",2015-02-17,aaron.sharon44@email.com,055-5747156
45,"Aaron Paz",2010-10-21,aaron.paz45@email.com,056-5643038
46,"David Stern",1987-01-13,david.stern46@email.com,059-7407564
47,"Miriam Israeli",2001-07-04,miriam.israeli47@email.com,059-1147104
48,"Isaac Avraham",1985-05-09,isaac.avraham48@email.com,051-3221555
49,"Adam Goldstein",1979-08-14,adam.goldstein49@email.com,053-2830276
50,"Leah Alon",1978-10-07,leah.alon50@email.com,058-4087773
51,"Ethan Avraham",1999-02-11,ethan.avraham51@email.com,056-2825638
52,"Yael Mizrahi",1996-05-16,yael.mizrahi52@email.com,051-7761740
53,"Naomi Paz",1995-10-18,naomi.paz53@email.com,055-8361540
54,"Abigail Goldstein",2002-07-15,abigail.goldstein54@email.com,052-5161781
55,"Adam Friedman",1983-04-05,adam.friedman55@email.com,059-2465455
56,"Avi Friedman",1993-07-21,avi.friedman56@email.com,054-2330829
57,"Joshua Nir",1988-08-04,joshua.nir57@email.com,053-8083518
58,"Esther Levi",1978-09-13,esther.levi58@email.com,056-8257208
59,"Michael Peretz",2002-05-06,michael.peretz59@email.com,056-8268121
60,"Aaron Levi",2010-06-17,aaron.levi60@email.com,053-9154178
61,"Michael Nir",1991-09-23,michael.nir61@email.com,050-3352829
62,"Avi Stern",2011-02-16,avi.stern62@email.com,058-1742110
63,"Miriam Gil",1986-03-19,miriam.gil63@email.com,050-5121023
64,"Aaron Rosen",1983-03-14,aaron.rosen64@email.com,058-6144930
65,"Samuel Bar",2012-04-06,samuel.bar65@email.com,055-4515361
